temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
896.0,776.0,19.273,20.073,20.746,20.487,1.0
898.0,792.0,19.165,20.006,20.746,20.478,1.0
900.0,785.0,19.186,20.027,20.767,20.47,1.0
902.0,784.0,19.165,20.027,20.658,20.464,1.0
904.0,766.0,19.231,20.094,20.658,20.464,1.0
906.0,770.0,19.21,20.073,20.725,20.462,1.0
908.0,770.0,19.21,20.073,20.725,20.461,1.0
910.0,774.0,19.122,20.051,20.725,20.457,1.0
912.0,773.0,19.122,20.051,20.813,20.454,1.0
914.0,767.0,19.122,20.073,20.704,20.453,1.0
916.0,772.0,19.21,20.051,20.683,20.451,1.0
918.0,765.0,19.21,20.073,20.704,20.45,1.0
920.0,770.0,19.277,20.051,20.616,20.448,1.0
922.0,769.0,19.189,20.051,20.704,20.446,1.0
924.0,768.0,19.168,20.051,20.704,20.444,1.0
926.0,768.0,19.168,20.051,20.683,20.442,1.0
928.0,772.0,19.08,20.03,20.704,20.439,1.0
930.0,766.0,19.059,20.051,20.662,20.438,1.0
932.0,765.0,19.147,20.051,20.662,20.437,1.0
934.0,770.0,19.147,20.03,20.75,20.434,1.0
936.0,769.0,19.126,20.03,20.595,20.432,1.0
938.0,768.0,19.126,20.03,20.574,20.429,1.0
940.0,773.0,19.126,20.009,20.574,20.426,1.0
942.0,766.0,19.038,20.03,20.662,20.424,1.0
944.0,771.0,19.017,20.009,20.662,20.421,1.0
946.0,770.0,19.017,20.009,20.662,20.418,1.0
948.0,769.0,19.084,20.009,20.641,20.415,1.0
950.0,774.0,19.084,19.988,20.662,20.411,1.0
952.0,768.0,19.063,20.009,20.683,20.409,1.0
954.0,772.0,19.042,19.988,20.683,20.405,1.0
956.0,766.0,19.0,20.009,20.595,20.404,1.0
958.0,771.0,18.979,19.988,20.662,20.401,1.0
